Continent,Year,CO2,total,percent,dummy,dummy2,other,year_other,otherpc
Africa,1900,2330304,1952224654,0.11936659,1,0.11936659,Other,1900,0.927343273
Africa,1901,3909488,2016760928,0.193849848,1,0.193849848,Other,1901,1.214332133
Africa,1902,5825760,2067797613,0.281737437,1,0.281737437,Other,1902,1.336746683
Africa,1903,7895920,2256077250,0.34998447,1,0.34998447,Other,1903,1.327992116
Africa,1904,8910848,2281857535,0.390508516,1,0.390508516,Other,1904,1.426672766
Africa,1905,10262864,2429631366,0.422404162,1,0.422404162,Other,1905,1.443050847
Africa,1906,11717472,2551869516,0.459172067,1,0.459172067,Other,1906,1.65635052
Africa,1907,12930256,2885281243,0.448145429,1,0.448145429,Other,1907,1.56577873
Africa,1908,13402912,2776431592,0.48273878,1,0.48273878,Other,1908,1.771933735
Africa,1909,15385136,2887083061,0.53289551,1,0.53289551,Other,1909,1.649069839
Africa,1910,17411328,3027588863,0.575088917,1,0.575088917,Other,1910,1.882593264
Africa,1911,16865392,3082462273,0.547140257,1,0.547140257,Other,1911,1.942508381
Africa,1912,17953600,3228332151,0.556126172,1,0.556126172,Other,1912,1.969821599
Africa,1913,19606064,3492411249,0.561390472,1,0.561390472,Other,1913,1.927989667
Africa,1914,19551104,3168341359,0.617076943,1,0.617076943,Other,1914,2.092811364
Africa,1915,19606064,3125088544,0.627376272,1,0.627376272,Other,1915,1.965372537
Africa,1916,23255408,3373154068,0.689426203,1,0.689426203,Other,1916,1.81388501
Africa,1917,25343888,3527725678,0.718420034,1,0.718420034,Other,1917,1.745832347
Africa,1918,24724672,3479185580,0.710645392,1,0.710645392,Other,1918,1.816737353
Africa,1919,25442816,3014874206,0.843909704,1,0.843909704,Other,1919,2.129826839
Africa,1920,28051584,3507597637,0.799737795,1,0.799737795,Other,1920,2.052200721
Africa,1921,27985632,3076038220,0.909794677,1,0.909794677,Other,1921,2.245303701
Africa,1922,23969888,3226445039,0.742919458,1,0.742919458,Other,1922,2.139726143
Africa,1923,29044528,3661080740,0.79333208,1,0.79333208,Other,1923,2.116586372
Africa,1924,30631040,3672399349,0.834087938,1,0.834087938,Other,1924,2.342430216
